27.75005,2.49195,2021-02-13,3
27.75005,2.49185,2020-10-04,3
27.75005,2.49175,2020-10-28,3
27.75005,2.49165,2020-10-28,3
27.75005,2.49155,2020-04-07,3
27.75005,2.49145,2020-03-02,3
27.75005,2.49135,2020-03-02,3
27.75005,2.49125,2020-03-02,3
27.75005,2.49115,2020-03-02,3
27.75005,2.49105,2020-03-02,3
27.75005,2.48145,2022-04-09,3
27.75005,2.48135,2022-04-09,3
27.75005,2.48125,2022-03-04,3
27.75005,2.48115,2022-03-04,3
27.75005,2.47905,2022-05-27,3
27.75005,2.47895,2022-05-27,3
27.75005,2.47885,2022-05-15,3
27.75005,2.47875,2022-05-27,3
27.75005,2.47865,2022-05-27,3
27.75005,2.46675,2021-04-19,3
27.75005,2.46665,2021-04-19,3
27.75005,2.46655,2021-04-19,3
27.75005,2.46645,2021-03-11,4
27.75005,2.46635,2021-03-11,4
27.75005,2.46625,2023-01-15,3
27.75005,2.46615,2021-06-24,3
27.75005,2.46605,2022-04-26,3
27.75005,2.46075,2021-06-25,3
27.75005,2.46065,2021-07-12,3
27.75005,2.46035,2021-02-13,3
27.75005,2.46025,2021-02-13,3
27.75005,2.46015,2021-02-13,3
27.75005,2.41395,2024-06-07,2
27.75005,2.41385,2024-06-07,2
27.75005,2.41375,2024-06-07,2
27.75005,2.41365,2024-06-07,2
27.75005,2.41355,2024-06-07,2
27.75005,2.41345,2023-04-02,3
27.75005,2.41335,2023-04-02,3
27.75005,2.41295,2023-02-06,3
27.75005,2.41285,2023-02-06,3
27.75005,2.40645,2022-02-20,3
27.75005,2.4063499999999998,2022-03-16,3
27.75005,2.39145,2024-06-23,2
27.75005,2.39135,2024-06-23,2
27.75005,2.38565,2021-01-25,3
27.75005,2.38555,2020-02-24,3
27.75005,2.38495,2022-10-06,3
27.75005,2.38485,2022-10-06,3
27.75005,2.38475,2022-10-06,3
27.75005,2.38465,2022-10-06,3
27.75005,2.38455,2022-10-06,3
27.75005,2.38445,2022-10-06,3
27.75005,2.38435,2022-10-06,3
27.75005,2.38425,2022-12-17,3
27.75005,2.38415,2022-12-17,3
27.75005,2.38405,2022-12-17,3
27.75005,2.30465,2019-01-24,3
27.75005,2.30455,2019-01-19,3
27.75005,2.29695,2022-07-07,3
27.75005,2.29685,2022-05-08,3
27.75005,2.29675,2022-06-13,3
27.75005,2.29665,2022-08-12,3
27.75005,2.29585,2023-07-14,3
27.75005,2.29575,2023-07-14,3
27.75005,2.29565,2023-03-28,3
27.75005,2.29555,2023-03-04,3
27.75005,2.2954499999999998,2023-02-20,4
27.75005,2.29535,2023-04-09,4
27.75005,2.29525,2023-04-28,3
27.75005,2.24875,2022-09-24,3
27.75005,2.24865,2022-09-24,3
27.75005,2.24855,2024-01-29,3
27.75005,2.24845,2024-01-29,3
27.75005,2.23595,2021-03-11,3
27.75005,2.23585,2021-03-11,3
27.75005,2.22515,2024-02-10,3
27.75005,2.22505,2024-02-10,3
27.75005,2.21825,2024-03-04,3
27.75005,2.21815,2024-03-04,3
27.75005,2.21805,2024-03-04,3
27.75005,2.17575,2023-02-16,3
27.75005,2.17565,2023-02-16,3
27.75005,2.17555,2023-02-16,3
27.75005,2.17545,2023-02-16,3
27.75005,2.17535,2023-02-16,3
27.75005,2.17525,2023-04-02,3
27.75005,2.17515,2023-04-02,3
27.75005,2.17505,2023-04-02,3
27.75005,2.16825,2024-03-28,3
27.75005,2.16815,2024-03-28,3
27.75005,2.16805,2024-03-28,3
27.75005,2.16675,2021-03-11,3
27.75005,2.1666499999999997,2021-03-11,3
27.75005,2.16655,2021-03-11,3
27.75005,2.16645,2023-02-03,3
27.75005,2.16635,2023-02-03,3
27.75005,2.16575,2023-04-02,3
27.75005,2.16565,2023-04-02,3
27.75005,2.16555,2023-04-02,3
27.75005,2.16455,2019-07-30,3
27.75005,2.16445,2019-06-12,3
27.75005,2.1643499999999998,2019-02-12,3
27.75005,2.16425,2019-02-12,3
27.75005,2.16415,2019-01-19,3
27.75005,2.16405,2019-01-19,3
27.75005,2.16395,2019-07-30,3
27.75005,2.16385,2019-04-25,3
27.75005,2.16375,2019-01-19,3
27.75005,2.16365,2019-01-19,3
27.75005,2.16355,2019-02-24,3
27.75005,2.16345,2019-02-24,3
27.75005,2.16335,2019-02-24,3
27.75005,2.16325,2019-02-12,3
27.75005,2.16315,2019-02-12,3
27.75005,2.16305,2019-03-08,3
27.75005,2.16295,2019-03-08,3
27.75005,2.16285,2019-03-08,3
27.75005,2.16275,2019-03-08,3
27.75005,2.16265,2019-07-06,3
27.75005,2.16255,2020-12-15,3
